Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\WO2019-187633_Example01P.zmx
Title:	WO 2019/187633 Example 1 (Sony FE 135mm F1.8 GM)
Date:	11/7/2025 5:55:12 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
       3.0722694     0.095680421     0.072608561       7.0307178       7.0239077     0.096955550
       3.1653685     0.096534605     0.072288443       7.2446236       7.2371807      0.10284147
       3.2584676     0.097384861     0.071957498       7.4586052       7.4504921      0.10889363
       3.3515666     0.098228953     0.071615686       7.6726648       7.6638429      0.11511111
       3.4446657     0.099064632     0.071262976       7.8868046       7.8772343      0.12149296
       3.5377648     0.099889634     0.070899346       8.1010266       8.0906675      0.12803820
       3.6308639      0.10070169     0.070524785       8.3153330       8.3041435      0.13474581
       3.7239629      0.10149851     0.070139294       8.5297259       8.5176636      0.14161471
       3.8170620      0.10227784     0.069742884       8.7442073       8.7312289      0.14864380
       3.9101611      0.10303737     0.069335582       8.9587793       8.9448404      0.15583193
       4.0032601      0.10377485     0.068917427       9.1734441       9.1584994      0.16317791
       4.0963592      0.10448800     0.068488474       9.3882036       9.3722071      0.17068049
       4.1894583      0.10517457     0.068048792       9.6030599       9.5859644      0.17833840
       4.2825574      0.10583231     0.067598470       9.8180150       9.7997727      0.18615029
       4.3756564      0.10645899     0.067137610       10.033071       10.013633      0.19411481
       4.4687555      0.10705242     0.066666337       10.248230       10.227546      0.20223051
       4.5618546      0.10761039     0.066184792       10.463493       10.441514      0.21049592
       4.6549537      0.10813075     0.065693138       10.678864       10.655538      0.21890951
       4.7480527      0.10861137     0.065191561       10.894343       10.869617      0.22746971
       4.8411518      0.10905013     0.064680265       11.109932       11.083755      0.23617486
       4.9342509      0.10944497     0.064159480       11.325634       11.297952      0.24502329
       5.0273500      0.10979384     0.063629460       11.541451       11.512209      0.25401324
       5.1204490      0.11009473     0.063090485       11.757384       11.726527      0.26314291
