Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US05745306-3.zmx
Title:	
Date:	11/7/2025 5:47:21 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
        Y Height       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
       20.580000     0.012824494     -0.12583342       20.710198       20.600109      0.53441123
       20.790000     0.018812127     -0.12423433       20.923816       20.810314      0.54541296
       21.000000     0.024919510     -0.12260321       21.137504       21.020519      0.55652915

Table series: Data for wavelength : 0.587562 µm.
        Y Height       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
  --------------  --------------  --------------  --------------  --------------  --------------
      0.00000000     0.043551799     0.043551799      0.00000000      0.00000000      0.00000000
      0.21000000     0.043531278     0.043544272      0.20994302      0.20994290  5.8965321E-005
      0.42000000     0.043461581     0.043521693      0.41988679      0.41988580  2.3585321E-004
      0.63000000     0.043342759     0.043484074      0.62983204      0.62982870  5.3066318E-004
      0.84000000     0.043174894     0.043431431      0.83977952      0.83977160  9.4339642E-004
       1.0500000     0.042958104     0.043363788       1.0497300       1.0497145  1.4740551E-003
       1.2600000     0.042692540     0.043281177       1.2596841       1.2596574  2.1226398E-003
       1.4700000     0.042378388     0.043183636       1.4696428       1.4696003  2.8891512E-003
       1.6800000     0.042015869     0.043071208       1.6796066       1.6795432  3.7735874E-003
       1.8900000     0.041605237     0.042943946       1.8895763       1.8894861  4.7759526E-003
       2.1000000     0.041146780     0.042801907       2.0995528       2.0994290  5.8962458E-003
       2.3100000     0.040640822     0.042645159       2.3095367       2.3093719  7.1344677E-003
       2.5200000     0.040087718     0.042473771       2.5195287       2.5193148  8.4906208E-003
       2.7300000     0.039487860     0.042287824       2.7295297       2.7292577  9.9647056E-003
       2.9400000     0.038841670     0.042087403       2.9395403       2.9392006     0.011556723
       3.1500000     0.038149607     0.041872600       3.1495613       3.1491435     0.013266676
       3.3600000     0.037412161     0.041643515       3.3595934       3.3590864     0.015094566
       3.5700000     0.036629857     0.041400253       3.5696375       3.5690293     0.017040393
       3.7800000     0.035803253     0.041142928       3.7796941       3.7789722     0.019104162
       3.9900000     0.034932937     0.040871658       3.9897642       3.9889151     0.021285873
       4.2000000     0.034019536     0.040586570       4.1998483       4.1988580     0.023585530
       4.4100000     0.033063703     0.040287796       4.4099473       4.4088009     0.026003134
       4.6200000     0.032066127     0.039975476       4.6200619       4.6187438     0.028538690
       4.8300000     0.031027529     0.039649755       4.8301929       4.8286867     0.031192200
       5.0400000     0.029948661     0.039310786       5.0403409       5.0386296     0.033963668
       5.2500000     0.028830306     0.038958728       5.2505068       5.2485725     0.036853096
       5.4600000     0.027673281     0.038593745       5.4606912       5.4585154     0.039860489
       5.6700000     0.026478432     0.038216011       5.6708949       5.6684583     0.042985852
       5.8800000     0.025246636     0.037825703       5.8811187       5.8784012     0.046229188
       6.0900000     0.023978802     0.037423006       6.0913634       6.0883441     0.049590503
       6.3000000     0.022675869     0.037008111       6.3016295       6.2982870     0.053069802
       6.5100000     0.021338804     0.036581215       6.5119179       6.5082299     0.056667089
       6.7200000     0.019968606     0.036142521       6.7222294       6.7181728     0.060382372
       6.9300000     0.018566302     0.035692240       6.9325646       6.9281157     0.064215656
       7.1400000     0.017132948     0.035230587       7.1429244       7.1380586     0.068166947
       7.3500000     0.015669629     0.034757783       7.3533094       7.3480015     0.072236254
       7.5600000     0.014177458     0.034274057       7.5637205       7.5579444     0.076423584
       7.7700000     0.012657576     0.033779644       7.7741583       7.7678873     0.080728945
       7.9800000     0.011111148     0.033274781       7.9846235       7.9778302     0.085152345
