Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\FR1233449_Example01P.zmx
Title:	FR 1.233.449 Example 1 (Leica Summilux 35mm F1.4)
Date:	11/7/2025 5:23:03 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
       20.459822     -0.18639119     -0.27438171       13.122888       13.113012     0.075315860
       20.774589     -0.19047794     -0.27542620       13.344008       13.333433     0.079313730
       21.089355     -0.19453391     -0.27598876       13.566093       13.554774     0.083504458
       21.404122     -0.19854808     -0.27603607       13.789165       13.777055     0.087897338
       21.718888     -0.20250826     -0.27553322       14.013247       14.000296     0.092502155
       22.033655     -0.20640099     -0.27444359       14.238361       14.224516     0.097329211
       22.348421     -0.21021137     -0.27272872       14.464530       14.449735      0.10238937
       22.663188     -0.21392292     -0.27034824       14.691779       14.675974      0.10769408
       22.977954     -0.21751744     -0.26725975       14.920132       14.903253      0.11325543
       23.292721     -0.22097477     -0.26341868       15.149614       15.131594      0.11908621
       23.607487     -0.22427264     -0.25877817       15.380249       15.361017      0.12519994
       23.922254     -0.22738645     -0.25328896       15.612065       15.591545      0.13161094
       24.237020     -0.23028898     -0.24689920       15.845088       15.823199      0.13833440
       24.551787     -0.23295020     -0.23955431       16.079345       16.056001      0.14538646
       24.866553     -0.23533692     -0.23119684       16.314864       16.289976      0.15278430
       25.181320     -0.23741253     -0.22176625       16.551675       16.525144      0.16054621
       25.496086     -0.23913666     -0.21119878       16.789806       16.761531      0.16869177
       25.810853     -0.24046479     -0.19942720       17.029289       16.999160      0.17724190
       26.125619     -0.24134795     -0.18638064       17.270155       17.238054      0.18621908
       26.440386     -0.24173225     -0.17198436       17.512436       17.478240      0.19564749
       26.755152     -0.24155852     -0.15615957       17.756165       17.719741      0.20555324
       27.069919     -0.24076186     -0.13882313       18.001377       17.962584      0.21596457
