file,n_rows
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2014-142520_Example01P_LensData.csv,20
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2014-145954_Example01P_LensData.csv,19
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2015-041003_Example01MLP_LensData.csv,19
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2015-041012_Example01P_LensData.csv,15
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2015-075501_Example01P_LensData.csv,21
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2015-096915_Example02P_LensData.csv,26
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2015-102734_Example01MLP_LensData.csv,37
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2015-102734_Example01TCP_LensData.csv,13
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2015-111192_Example01P_LensData.csv,15
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2015-114366_Example01P_LensData.csv,25
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2015-161792_Example01P_LensData.csv,36
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2015-215560_Example01P_LensData.csv,33
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2016-012034_Example01P_LensData.csv,29
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2016-021011_Example04P_LensData.csv,32
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2016-099362_Example06P_LensData.csv,18
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2016-184136_Example07P_LensData.csv,37
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2016-188967_Example01P_LensData.csv,26
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2016-191761_MLP_LensData.csv,32
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2017-003807_Example04P_LensData.csv,26
C:\Users\Ruth\Documents\GitHub\2.156-Lens-Project\Prime Lenses + Data\LensDataExports\JP2017-161685_Example02P_LensData.csv,33
