File Name,Tan Shift,Sag Shift,Long_0.4861,Long_0.5876,Long_0.6563,Poly,RMS_0.4861,RMS_0.5876,RMS_0.6563,Rel. Ill,Effective F/#
HandbookCamFig10_LensData_16_2.8_15,0.0299441,0.0299441,0.02994,-0.03752,-0.02122,,,,,1.0,4.74953
HandbookCamFig11_LensData_21_2.9_17,0.18448459,0.18448459,0.1845,0.07787,0.07075,,,,,1.0,2.971289
HandbookCamFig12_LensData_21_2.9_200,0.01102091,0.01102091,0.01102,0.05177,0.1574,0.4874,0.2359,0.1758,0.7913,1.0,2.976627
HandbookCamFig13_LensData_21_2.1_300,-0.27696578,-0.27696578,-0.277,-0.1915,-0.0491,1.8196,1.4809,1.11,2.551,1.0,2.137866
HandbookCamFig16_LensData_NA_NA_NA,-1.48238947,-1.48238947,-1.482,-1.926,-1.981,1.4383,2.0955,1.0152,0.8856,1.0,6.187693
Imaging_Optics_Figure_7_19a_LensData_24_4.4_100,0.37993726,0.37993726,0.3799,0.4084,0.4891,0.9932,1.1238,0.8758,0.9641,1.0,4.608832
Imaging_Optics_Figure_7_19b_LensData_24_4.4_100,0.77156476,0.77156476,0.7715,0.7651,0.8357,1.0738,1.3139,0.9124,0.9489,1.0,4.616585
Imaging_Optics_Figure_7_20_LensData_23_3.4_100,0.01406117,0.01406117,0.01407,0.0918,0.1949,1.2834,1.436,1.1341,1.2621,0.998824,4.168038
Imaging_Optics_Figure_7_24_LensData_24_4.4_50,0.17920399,0.17920399,0.1792,0.3837,0.4964,0.5857,0.1561,0.5875,0.8121,1.0,4.739355
Imaging_Optics_Figure_7_28_US1792917_LensData_61.8_4.5_100,0.20529582,0.20529582,0.2052,0.3319,0.4588,0.6197,0.9785,0.4389,0.0453,1.0,4.708255
Imaging_Optics_Figure_7_6_LensData_1_5_100,0.02783701,0.02783701,0.02783,0.06308,0.08955,0.0693,0.0872,0.0679,0.0468,0.992569,5.32148
Imaging_Optics_Figure_7_7_LensData_1_5_100,0.04692476,0.04692476,0.04692,0.07689,0.09131,0.0415,0.0301,0.0451,0.0471,0.992578,5.319204
