Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004437734_Example01_Tale69.zmx
Title:	Nikon Medical-Nikkor 120mm f/4 IF (US 4,437,734 Example 1)
Date:	11/7/2025 5:37:53 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
       1.9411567     -0.51419574     -0.59000011       11.416109       11.380566      0.31231553
       1.9764504     -0.51262520     -0.58813069       11.625013       11.587648      0.32245466
       2.0117442     -0.51124134     -0.58620222       11.833977       11.794739      0.33267193
       2.0470379     -0.51005749     -0.58421334       12.043000       12.001839      0.34296087
       2.0823317     -0.50908739     -0.58216269       12.252084       12.208948      0.35331477
       2.1176255     -0.50834518     -0.58004889       12.461227       12.416066      0.36372672
       2.1529192     -0.50784544     -0.57787052       12.670429       12.623194      0.37418960
       2.1882130     -0.50760318     -0.57562617       12.879689       12.830331      0.38469607
       2.2235067     -0.50763384     -0.57331439       13.089007       13.037478      0.39523857
       2.2588005     -0.50795333     -0.57093371       13.298383       13.244635      0.40580929
       2.2940943     -0.50857801     -0.56848264       13.507816       13.451802      0.41640020
       2.3293880     -0.50952473     -0.56595970       13.717304       13.658980      0.42700301
       2.3646818     -0.51081082     -0.56336336       13.926847       13.866167      0.43760918
       2.3999755     -0.51245411     -0.56069209       14.136444       14.073366      0.44820992
       2.4352693     -0.51447293     -0.55794434       14.346093       14.280574      0.45879615
       2.4705630     -0.51688615     -0.55511854       14.555794       14.487794      0.46935853
       2.5058568     -0.51971316     -0.55221311       14.765545       14.695025      0.47988743
       2.5411506     -0.52297390     -0.54922647       14.975344       14.902267      0.49037292
       2.5764443     -0.52668888     -0.54615701       15.185189       15.109520      0.50080479
       2.6117381     -0.53087915     -0.54300312       15.395080       15.316785      0.51117248
       2.6470318     -0.53556638     -0.53976316       15.605014       15.524061      0.52146514
       2.6823256     -0.54077282     -0.53643552       15.814989       15.731350      0.53167157
       2.7176193     -0.54652133     -0.53301853       16.025002       15.938650      0.54178024
       2.7529131     -0.55283541     -0.52951056       16.235052       16.145962      0.55177926
       2.7882069     -0.55973918     -0.52590996       16.445136       16.353287      0.56165638
       2.8235006     -0.56725742     -0.52221506       16.655251       16.560624      0.57139896
       2.8587944     -0.57541559     -0.51842422       16.865394       16.767974      0.58099400
       2.8940881     -0.58423980     -0.51453577       17.075563       16.975336      0.59042807
       2.9293819     -0.59375690     -0.51054806       17.285754       17.182711      0.59968734
       2.9646756     -0.60399441     -0.50645943       17.495963       17.390100      0.60875756
       2.9999694     -0.61498060     -0.50226825       17.706188       17.597501      0.61762402
       3.0352632     -0.62674447     -0.49797288       17.916423       17.804916      0.62627157
       3.0705569     -0.63931579     -0.49357169       18.126666       18.012345      0.63468459
       3.1058507     -0.65272508     -0.48906307       18.336912       18.219787      0.64284696
       3.1411444     -0.66700367     -0.48444542       18.547157       18.427243      0.65074207
       3.1764382     -0.68218368     -0.47971718       18.757396       18.634713      0.65835279
       3.2117320     -0.69829805     -0.47487679       18.967623       18.842198      0.66566143
       3.2470257     -0.71538056     -0.46992273       19.177834       19.049696      0.67264978
       3.2823195     -0.73346583     -0.46485349       19.388024       19.257210      0.67929902
       3.3176132     -0.75258938     -0.45966762       19.598186       19.464738      0.68558976
       3.3529070     -0.77278757     -0.45436369       19.808314       19.672280      0.69150198
       3.3882007     -0.79409766     -0.44894033       20.018403       19.879838      0.69701504
       3.4234945     -0.81655788     -0.44339619       20.228446       20.087411      0.70210761
       3.4587883     -0.84020735     -0.43772999       20.438435       20.294999      0.70675769
       3.4940820     -0.86508614     -0.43194052       20.648364       20.502602      0.71094259
       3.5293758     -0.89123529     -0.42602660       20.858225       20.710222      0.71463886

Table series: Data for wavelength : 0.587562 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
  --------------  --------------  --------------  --------------  --------------  --------------
      0.00000000  6.5623270E-004  6.5623270E-004      0.00000000      0.00000000      0.00000000
     0.035293758  6.9688538E-004  6.5598805E-004      0.20651096      0.20651070  1.2429450E-004
     0.070587515  8.0074454E-004  6.5526433E-004      0.41302361      0.41302156  4.9714043E-004
      0.10588127  9.6754176E-004  6.5409233E-004      0.61953966      0.61953273  1.1184290E-003
      0.14117503  1.1968336E-003  6.5252297E-004      0.82606079      0.82604437  1.9879771E-003
      0.17646879  1.4880016E-003  6.5062779E-004       1.0325887       1.0325566  3.1055289E-003
      0.21176255  1.8402511E-003  6.4849915E-004       1.2391251       1.2390697  4.4707545E-003
      0.24705630  2.2526122E-003  6.4624878E-004       1.4456716       1.4455837  6.0832510E-003
      0.28235006  2.7239368E-003  6.4400991E-004       1.6522300       1.6520988  7.9425407E-003
      0.31764382  3.2528998E-003  6.4193572E-004       1.8588019       1.8586151     0.010048072
      0.35293758  3.8379971E-003  6.4020049E-004       2.0653889       2.0651329     0.012399218
      0.38823133  4.4775452E-003  6.3899729E-004       2.2719928       2.2716522     0.014995277
      0.42352509  5.1696786E-003  6.3854197E-004       2.4786152       2.4781732     0.017835472
      0.45881885  5.9123495E-003  6.3906828E-004       2.6852578       2.6846961     0.020918948
      0.49411261  6.7033263E-003  6.4083233E-004       2.8919221       2.8912211     0.024244773
      0.52940637  7.5401914E-003  6.4411008E-004       3.0986098       3.0977483     0.027811939
      0.56470012  8.4203399E-003  6.4919797E-004       3.3053226       3.3042778     0.031619358
      0.59999388  9.3409772E-003  6.5641287E-004       3.5120619       3.5108098     0.035665863
      0.63528764     0.010299118  6.6609211E-004       3.7188296       3.7173445     0.039950206
      0.67058140     0.011291582  6.7859351E-004       3.9256270       3.9238820     0.044471059
      0.70587515     0.012314994  6.9429532E-004       4.1324557       4.1304224     0.049227011
      0.74116891     0.013365781  7.1359626E-004       4.3393174       4.3369661     0.054216567
      0.77646267     0.014440168  7.3691549E-004       4.5462135       4.5435130     0.059438149
      0.81175643     0.015534174  7.6469263E-004       4.7531456       4.7500633     0.064890091
      0.84705018     0.016643614  7.9738773E-004       4.9601152       4.9566173     0.070570642
      0.88234394     0.017764092  8.3548130E-004       5.1671237       5.1631750     0.076477962
      0.91763770     0.018891003  8.7947426E-004       5.3741726       5.3697366     0.082610121
      0.95293146     0.020019520  9.2988793E-004       5.5812633       5.5763024     0.088965098
      0.98822522     0.021144600  9.8726405E-004       5.7883973       5.7828723     0.095540777
       1.0235190     0.022260976  1.0521647E-003       5.9955760       5.9894467      0.10233495
       1.0588127     0.023363149  1.1251724E-003       6.2028006       6.1960255      0.10934532
       1.0941065     0.024445396  1.2068900E-003       6.4100726       6.4026091      0.11656947
       1.1294002     0.025501754  1.2979405E-003       6.6173933       6.6091976      0.12400490
       1.1646940     0.026526024  1.3989673E-003       6.8247640       6.8157911      0.13164901
       1.1999878     0.027511762  1.5106341E-003       7.0321859       7.0223897      0.13949909
       1.2352815     0.028452273  1.6336247E-003       7.2396602       7.2289937      0.14755232
       1.2705753     0.029340612  1.7686430E-003       7.4471882       7.4356031      0.15580578
       1.3058690     0.030169575  1.9164132E-003       7.6547711       7.6422183      0.16425644
       1.3411628     0.030931695  2.0776793E-003       7.8624099       7.8488392      0.17290114
       1.3764566     0.031619236  2.2532055E-003       8.0701058       8.0554660      0.18173663
       1.4117503     0.032224191  2.4437757E-003       8.2778598       8.2620990      0.19075952
       1.4470441     0.032738270  2.6501936E-003       8.4856729       8.4687383      0.19996630
       1.4823378     0.033152901  2.8732829E-003       8.6935462       8.6753840      0.20935336
       1.5176316     0.033459220  3.1138867E-003       8.9014806       8.8820363      0.21891694
       1.5529253     0.033648068  3.3728677E-003       9.1094769       9.0886953      0.22865315
       1.5882191     0.033709981  3.6511079E-003       9.3175361       9.2953612      0.23855797
       1.6235129     0.033635185  3.9495087E-003       9.5256589       9.5020342      0.24862726
       1.6588066     0.033413594  4.2689906E-003       9.7338461       9.7087144      0.25885673
       1.6941004     0.033034795  4.6104931E-003       9.9420984       9.9154020      0.26924192
       1.7293941     0.032488047  4.9749743E-003       10.150417       10.122097      0.27977827
       1.7646879     0.031762274  5.3634111E-003       10.358801       10.328800      0.29046104
       1.7999816     0.030846054  5.7767989E-003       10.567253       10.535511      0.30128534
       1.8352754     0.029727613  6.2161511E-003       10.775771       10.742229      0.31224611
       1.8705692     0.028394820  6.6824992E-003       10.984358       10.948956      0.32333816
       1.9058629     0.026835176  7.1768923E-003       11.193013       11.155691      0.33455610
       1.9411567     0.025035807  7.7003971E-003       11.401737       11.362435      0.34589438
       1.9764504     0.022983456  8.2540972E-003       11.610529       11.569187      0.35734727
       2.0117442     0.020664474  8.8390933E-003       11.819391       11.775948      0.36890886
       2.0470379     0.018064815  9.4565023E-003       12.028321       11.982718      0.38057307
       2.0823317     0.015170019     0.010107457       12.237321       12.189497      0.39233359
       2.1176255     0.011965214     0.010793107       12.446389       12.396285      0.40418394
       2.1529192  8.4350960E-003     0.011514616       12.655527       12.603083      0.41611744
       2.1882130  4.5639288E-003     0.012273163       12.864733       12.809891      0.42812718
       2.2235067  3.3552899E-004     0.013069940       13.074008       13.016708      0.44020605
       2.2588005 -4.2667414E-003     0.013906156       13.283351       13.223535      0.45234672
       2.2940943 -9.2599859E-003     0.014783029       13.492761       13.430372      0.46454161
       2.3293880    -0.014661783     0.015701794       13.702239       13.637219      0.47678294
       2.3646818    -0.020490195     0.016663693       13.911783       13.844076      0.48906267
       2.3999755    -0.026763780     0.017669985       14.121392       14.050945      0.50137249
       2.4352693    -0.033501605     0.018721934       14.331066       14.257823      0.51370387
       2.4705630    -0.040723249     0.019820816       14.540804       14.464713      0.52604799
       2.5058568    -0.048448821     0.020967917       14.750605       14.671614      0.53839577
       2.5411506    -0.056698969     0.022164530       14.960467       14.878525      0.55073785
       2.5764443    -0.065494889     0.023411953       15.170389       15.085449      0.56306456
       2.6117381    -0.074858337     0.024711492       15.380370       15.292383      0.57536596
       2.6470318    -0.084811645     0.026064458       15.590408       15.499329      0.58763178
