Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US02363712-1.zmx
Title:	
Date:	11/7/2025 5:41:44 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
       4.6200000    -0.074448124    -0.085876933       2.0450087       2.0440941     0.044745546
       4.8300000    -0.075885415    -0.088418538       2.1384841       2.1374395     0.048873425
       5.0400000    -0.077367001    -0.091060429       2.2320290       2.2308427     0.053177382
       5.2500000    -0.078890376    -0.093800905       2.3256465       2.3243063     0.057656334
       5.4600000    -0.080452938    -0.096638182       2.4193395       2.4178330     0.062309122
       5.6700000    -0.082051985    -0.099570390       2.5131112       2.5114251     0.067134511
       5.8800000    -0.083684722     -0.10259558       2.6069645       2.6050854     0.072131185
       6.0900000    -0.085348262     -0.10571170       2.7009026       2.6988165     0.077297742
       6.3000000    -0.087039625     -0.10891662       2.7949285       2.7926209     0.082632688
       6.5100000    -0.088755746     -0.11220813       2.8890452       2.8865012     0.088134437
       6.7200000    -0.090493471     -0.11558391       2.9832558       2.9804601     0.093801300
       6.9300000    -0.092249565     -0.11904154       3.0775633       3.0745002     0.099631484
       7.1400000    -0.094020712     -0.12257853       3.1719709       3.1686241      0.10562308
       7.3500000    -0.095803521     -0.12619227       3.2664814       3.2628344      0.11177407
       7.5600000    -0.097594527     -0.12988005       3.3610981       3.3571339      0.11808230
       7.7700000    -0.099390198     -0.13363907       3.4558239       3.4515252      0.12454549
       7.9800000     -0.10118694     -0.13746641       3.5506619       3.5460109      0.13116122
       8.1900000     -0.10298109     -0.14135905       3.6456152       3.6405938      0.13792692
       8.4000000     -0.10476895     -0.14531386       3.7406867       3.7352766      0.14483986
       8.6100000     -0.10654676     -0.14932759       3.8358796       3.8300618      0.15189717
       8.8200000     -0.10831074     -0.15339689       3.9311968       3.9249524      0.15909578
       9.0300000     -0.11005704     -0.15751826       4.0266414       4.0199509      0.16643244
       9.2400000     -0.11178182     -0.16168811       4.1222164       4.1150602      0.17390370
       9.4500000     -0.11348122     -0.16590271       4.2179248       4.2102829      0.18150592
       9.6600000     -0.11515136     -0.17015819       4.3137697       4.3056219      0.18923523
       9.8700000     -0.11678837     -0.17445057       4.4097539       4.4010799      0.19708753
       10.080000     -0.11838841     -0.17877572       4.5058806       4.4966598      0.20505847
       10.290000     -0.11994766     -0.18312936       4.6021526       4.5923643      0.21314344
       10.500000     -0.12146233     -0.18750709       4.6985730       4.6881962      0.22133757
       10.710000     -0.12292872     -0.19190434       4.7951446       4.7841585      0.22963568
       10.920000     -0.12434319     -0.19631639       4.8918704       4.8802538      0.23803227
       11.130000     -0.12570218     -0.20073838       4.9887533       4.9764852      0.24652155
       11.340000     -0.12700228     -0.20516526       5.0857962       5.0728555      0.25509733
       11.550000     -0.12824020     -0.20959184       5.1830019       5.1693675      0.26375310
       11.760000     -0.12941279     -0.21401272       5.2803732       5.2660242      0.27248191
       11.970000     -0.13051714     -0.21842235       5.3779129       5.3628285      0.28127642
       12.180000     -0.13155051     -0.22281500       5.4756238       5.4597834      0.29012885
       12.390000     -0.13251043     -0.22718472       5.5735087       5.5568919      0.29903093
       12.600000     -0.13339473     -0.23152539       5.6715701       5.6541568      0.30797390
       12.810000     -0.13420155     -0.23583066       5.7698108       5.7515812      0.31694846
       13.020000     -0.13492938     -0.24009401       5.8682332       5.8491682      0.32594475
       13.230000     -0.13557716     -0.24430865       5.9668400       5.9469207      0.33495230
       13.440000     -0.13614426     -0.24846761       6.0656336       6.0448418      0.34396000
       13.650000     -0.13663058     -0.25256366       6.1646164       6.1429346      0.35295606
       13.860000     -0.13703660     -0.25658933       6.2637908       6.2412021      0.36192796
       14.070000     -0.13736345     -0.26053691       6.3631590       6.3396476      0.37086239
       14.280000     -0.13761296     -0.26439843       6.4627232       6.4382741      0.37974523
       14.490000     -0.13778777     -0.26816564       6.5624854       6.5370848      0.38856148
       14.700000     -0.13789141     -0.27183002       6.6624477       6.6360829      0.39729516
       14.910000     -0.13792837     -0.27538276       6.7626119       6.7352715      0.40592934
       15.120000     -0.13790425     -0.27881476       6.8629798       6.8346539      0.41444596
       15.330000     -0.13782583     -0.28211659       6.9635531       6.9342333      0.42282584
       15.540000     -0.13770122     -0.28527851       7.0643331       7.0340131      0.43104856
       15.750000     -0.13753999     -0.28829046       7.1653213       7.1339964      0.43909240
       15.960000     -0.13735334     -0.29114200       7.2665188       7.2341867      0.44693421
