Y Height,Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
13.230000,-0.26174065,-0.16034007,13.317859,13.237816,0.60465143,0.486133 µm.
13.230000,-0.26174065,-0.16034007,13.317859,13.237816,0.60465143,0.486133 µm.
13.440000,-0.26337833,-0.16147439,13.531784,13.447940,0.62346742,0.486133 µm.
13.440000,-0.26337833,-0.16147439,13.531784,13.447940,0.62346742,0.486133 µm.
13.650000,-0.26476742,-0.16254183,13.745823,13.658064,0.64253973,0.486133 µm.
13.650000,-0.26476742,-0.16254183,13.745823,13.658064,0.64253973,0.486133 µm.
13.860000,-0.26589282,-0.16353781,13.959977,13.868189,0.66186585,0.486133 µm.
13.860000,-0.26589282,-0.16353781,13.959977,13.868189,0.66186585,0.486133 µm.
14.070000,-0.26673903,-0.16445760,14.174248,14.078313,0.68144317,0.486133 µm.
14.070000,-0.26673903,-0.16445760,14.174248,14.078313,0.68144317,0.486133 µm.
14.280000,-0.26729010,-0.16529637,14.388637,14.288437,0.70126898,0.486133 µm.
14.280000,-0.26729010,-0.16529637,14.388637,14.288437,0.70126898,0.486133 µm.
14.490000,-0.26752963,-0.16604912,14.603145,14.498561,0.72134045,0.486133 µm.
14.490000,-0.26752963,-0.16604912,14.603145,14.498561,0.72134045,0.486133 µm.
14.700000,-0.26744074,-0.16671074,14.817772,14.708685,0.74165468,0.486133 µm.
14.700000,-0.26744074,-0.16671074,14.817772,14.708685,0.74165468,0.486133 µm.
14.910000,-0.26700611,-0.16727598,15.032521,14.918809,0.76220863,0.486133 µm.
14.910000,-0.26700611,-0.16727598,15.032521,14.918809,0.76220863,0.486133 µm.
15.120000,-0.26620789,-0.16773943,15.247392,15.128933,0.78299915,0.486133 µm.
15.120000,-0.26620789,-0.16773943,15.247392,15.128933,0.78299915,0.486133 µm.
15.330000,-0.26502777,-0.16809555,15.462387,15.339057,0.80402298,0.486133 µm.
15.330000,-0.26502777,-0.16809555,15.462387,15.339057,0.80402298,0.486133 µm.
15.540000,-0.26344688,-0.16833864,15.677505,15.549181,0.82527674,0.486133 µm.
15.540000,-0.26344688,-0.16833864,15.677505,15.549181,0.82527674,0.486133 µm.
15.750000,-0.26144587,-0.16846283,15.892748,15.759305,0.84675692,0.486133 µm.
15.750000,-0.26144587,-0.16846283,15.892748,15.759305,0.84675692,0.486133 µm.
15.960000,-0.25900479,-0.16846212,16.108117,15.969429,0.86845986,0.486133 µm.
15.960000,-0.25900479,-0.16846212,16.108117,15.969429,0.86845986,0.486133 µm.
16.170000,-0.25610318,-0.16833031,16.323613,16.179553,0.89038179,0.486133 µm.
16.170000,-0.25610318,-0.16833031,16.323613,16.179553,0.89038179,0.486133 µm.
16.380000,-0.25271997,-0.16806106,16.539236,16.389677,0.91251879,0.486133 µm.
16.380000,-0.25271997,-0.16806106,16.539236,16.389677,0.91251879,0.486133 µm.
16.590000,-0.24883351,-0.16764784,16.754987,16.599801,0.93486678,0.486133 µm.
16.590000,-0.24883351,-0.16764784,16.754987,16.599801,0.93486678,0.486133 µm.
16.800000,-0.24442155,-0.16708393,16.970867,16.809926,0.95742156,0.486133 µm.
16.800000,-0.24442155,-0.16708393,16.970867,16.809926,0.95742156,0.486133 µm.
17.010000,-0.23946121,-0.16636245,17.186877,17.020050,0.98017875,0.486133 µm.
17.010000,-0.23946121,-0.16636245,17.186877,17.020050,0.98017875,0.486133 µm.
17.220000,-0.23392895,-0.16547630,17.403015,17.230174,1.0031338,0.486133 µm.
17.220000,-0.23392895,-0.16547630,17.403015,17.230174,1.0031338,0.486133 µm.
17.430000,-0.22780059,-0.16441821,17.619284,17.440298,1.0262820,0.486133 µm.
17.430000,-0.22780059,-0.16441821,17.619284,17.440298,1.0262820,0.486133 µm.
17.640000,-0.22105126,-0.16318069,17.835684,17.650422,1.0496185,0.486133 µm.
17.640000,-0.22105126,-0.16318069,17.835684,17.650422,1.0496185,0.486133 µm.
17.850000,-0.21365540,-0.16175603,18.052214,17.860546,1.0731382,0.486133 µm.
17.850000,-0.21365540,-0.16175603,18.052214,17.860546,1.0731382,0.486133 µm.
18.060000,-0.20558673,-0.16013633,18.268876,18.070670,1.0968359,0.486133 µm.
18.060000,-0.20558673,-0.16013633,18.268876,18.070670,1.0968359,0.486133 µm.
18.270000,-0.19681821,-0.15831344,18.485668,18.280794,1.1207061,0.486133 µm.
18.270000,-0.19681821,-0.15831344,18.485668,18.280794,1.1207061,0.486133 µm.
18.480000,-0.18732208,-0.15627900,18.702592,18.490918,1.1447433,0.486133 µm.
18.480000,-0.18732208,-0.15627900,18.702592,18.490918,1.1447433,0.486133 µm.
18.690000,-0.17706976,-0.15402440,18.919646,18.701042,1.1689414,0.486133 µm.
18.690000,-0.17706976,-0.15402440,18.919646,18.701042,1.1689414,0.486133 µm.
18.900000,-0.16603189,-0.15154080,19.136832,18.911166,1.1932946,0.486133 µm.
18.900000,-0.16603189,-0.15154080,19.136832,18.911166,1.1932946,0.486133 µm.
19.110000,-0.15417829,-0.14881907,19.354149,19.121290,1.2177965,0.486133 µm.
19.110000,-0.15417829,-0.14881907,19.354149,19.121290,1.2177965,0.486133 µm.
19.320000,-0.14147792,-0.14584987,19.571596,19.331414,1.2424405,0.486133 µm.
19.320000,-0.14147792,-0.14584987,19.571596,19.331414,1.2424405,0.486133 µm.
19.530000,-0.12789888,-0.14262353,19.789173,19.541538,1.2672200,0.486133 µm.
19.530000,-0.12789888,-0.14262353,19.789173,19.541538,1.2672200,0.486133 µm.
19.740000,-0.11340837,-0.13913015,20.006879,19.751662,1.2921280,0.486133 µm.
19.740000,-0.11340837,-0.13913015,20.006879,19.751662,1.2921280,0.486133 µm.
19.950000,-0.097972682,-0.13535952,20.224715,19.961787,1.3171571,0.486133 µm.
19.950000,-0.097972682,-0.13535952,20.224715,19.961787,1.3171571,0.486133 µm.
20.160000,-0.081557157,-0.13130112,20.442678,20.171911,1.3423000,0.486133 µm.
20.160000,-0.081557157,-0.13130112,20.442678,20.171911,1.3423000,0.486133 µm.
20.370000,-0.064126177,-0.12694413,20.660769,20.382035,1.3675487,0.486133 µm.
20.370000,-0.064126177,-0.12694413,20.660769,20.382035,1.3675487,0.486133 µm.
20.580000,-0.045643135,-0.12227741,20.878986,20.592159,1.3928953,0.486133 µm.
20.580000,-0.045643135,-0.12227741,20.878986,20.592159,1.3928953,0.486133 µm.
20.790000,-0.026070407,-0.11728948,21.097328,20.802283,1.4183314,0.486133 µm.
20.790000,-0.026070407,-0.11728948,21.097328,20.802283,1.4183314,0.486133 µm.
21.000000,-5.3693298E-003,-0.11196852,21.315794,21.012407,1.4438484,0.486133 µm.
21.000000,-5.3693298E-003,-0.11196852,21.315794,21.012407,1.4438484,0.486133 µm.
0.00000000,0.11625961,0.11625961,0.00000000,0.00000000,0.00000000,0.587562 µm.
0.00000000,0.11625961,0.11625961,0.00000000,0.00000000,0.00000000,0.587562 µm.
0.21000000,0.11618239,0.11623197,0.20982029,0.20981995,1.5836225E-004,0.587562 µm.
0.21000000,0.11618239,0.11623197,0.20982029,0.20981995,1.5836225E-004,0.587562 µm.
0.42000000,0.11595510,0.11614906,0.41964256,0.41963991,6.3344218E-004,0.587562 µm.
0.42000000,0.11595510,0.11614906,0.41964256,0.41963991,6.3344218E-004,0.587562 µm.
0.63000000,0.11557798,0.11601095,0.62946883,0.62945986,1.4252178E-003,0.587562 µm.
0.63000000,0.11557798,0.11601095,0.62946883,0.62945986,1.4252178E-003,0.587562 µm.
0.84000000,0.11505140,0.11581776,0.83930108,0.83927981,2.5336526E-003,0.587562 µm.
0.84000000,0.11505140,0.11581776,0.83930108,0.83927981,2.5336526E-003,0.587562 µm.
1.0500000,0.11437591,0.11556968,1.0491413,1.0490998,3.9586955E-003,0.587562 µm.
1.0500000,0.11437591,0.11556968,1.0491413,1.0490998,3.9586955E-003,0.587562 µm.
1.2600000,0.11355219,0.11526690,1.2589915,1.2589197,5.7002806E-003,0.587562 µm.
1.2600000,0.11355219,0.11526690,1.2589915,1.2589197,5.7002806E-003,0.587562 µm.
1.4700000,0.11258109,0.11490971,1.4688536,1.4687397,7.7583271E-003,0.587562 µm.
1.4700000,0.11258109,0.11490971,1.4688536,1.4687397,7.7583271E-003,0.587562 µm.
1.6800000,0.11146360,0.11449841,1.6787297,1.6785596,0.010132739,0.587562 µm.
1.6800000,0.11146360,0.11449841,1.6787297,1.6785596,0.010132739,0.587562 µm.
1.8900000,0.11020087,0.11403337,1.8886217,1.8883796,0.012823406,0.587562 µm.
1.8900000,0.11020087,0.11403337,1.8886217,1.8883796,0.012823406,0.587562 µm.
2.1000000,0.10879422,0.11351501,2.0985317,2.0981995,0.015830202,0.587562 µm.
2.1000000,0.10879422,0.11351501,2.0985317,2.0981995,0.015830202,0.587562 µm.
2.3100000,0.10724511,0.11294377,2.3084615,2.3080195,0.019152985,0.587562 µm.
2.3100000,0.10724511,0.11294377,2.3084615,2.3080195,0.019152985,0.587562 µm.
2.5200000,0.10555515,0.11232019,2.5184133,2.5178394,0.022791597,0.587562 µm.
2.5200000,0.10555515,0.11232019,2.5184133,2.5178394,0.022791597,0.587562 µm.
2.7300000,0.10372612,0.11164482,2.7283889,2.7276594,0.026745866,0.587562 µm.
2.7300000,0.10372612,0.11164482,2.7283889,2.7276594,0.026745866,0.587562 µm.
2.9400000,0.10175997,0.11091827,2.9383904,2.9374793,0.031015600,0.587562 µm.
2.9400000,0.10175997,0.11091827,2.9383904,2.9374793,0.031015600,0.587562 µm.
3.1500000,0.099658785,0.11014120,3.1484198,3.1472993,0.035600595,0.587562 µm.
3.1500000,0.099658785,0.11014120,3.1484198,3.1472993,0.035600595,0.587562 µm.
3.3600000,0.097424827,0.10931434,3.3584789,3.3571193,0.040500627,0.587562 µm.
3.3600000,0.097424827,0.10931434,3.3584789,3.3571193,0.040500627,0.587562 µm.
3.5700000,0.095060516,0.10843843,3.5685698,3.5669392,0.045715455,0.587562 µm.
3.5700000,0.095060516,0.10843843,3.5685698,3.5669392,0.045715455,0.587562 µm.
3.7800000,0.092568437,0.10751431,3.7786945,3.7767592,0.051244822,0.587562 µm.
3.7800000,0.092568437,0.10751431,3.7786945,3.7767592,0.051244822,0.587562 µm.
3.9900000,0.089951340,0.10654283,3.9888550,3.9865791,0.057088451,0.587562 µm.
3.9900000,0.089951340,0.10654283,3.9888550,3.9865791,0.057088451,0.587562 µm.
4.2000000,0.087212142,0.10552491,4.1990531,4.1963991,0.063246047,0.587562 µm.
4.2000000,0.087212142,0.10552491,4.1990531,4.1963991,0.063246047,0.587562 µm.
4.4100000,0.084353929,0.10446154,4.4092909,4.4062190,0.069717298,0.587562 µm.
4.4100000,0.084353929,0.10446154,4.4092909,4.4062190,0.069717298,0.587562 µm.
4.6200000,0.081379958,0.10335373,4.6195703,4.6160390,0.076501870,0.587562 µm.
4.6200000,0.081379958,0.10335373,4.6195703,4.6160390,0.076501870,0.587562 µm.
4.8300000,0.078293656,0.10220257,4.8298933,4.8258589,0.083599410,0.587562 µm.
4.8300000,0.078293656,0.10220257,4.8298933,4.8258589,0.083599410,0.587562 µm.
5.0400000,0.075098629,0.10100919,5.0402618,5.0356789,0.091009545,0.587562 µm.
5.0400000,0.075098629,0.10100919,5.0402618,5.0356789,0.091009545,0.587562 µm.
5.2500000,0.071798655,0.099774783,5.2506778,5.2454988,0.098731880,0.587562 µm.
5.2500000,0.071798655,0.099774783,5.2506778,5.2454988,0.098731880,0.587562 µm.
