Y Angle (deg),Tan Shift,Sag Shift,Real Cosine,Ref. Cosine,Distortion,Wavelength
15.345582,-7.3770255,-6.9155087,0.27649767,0.27228384,1.5475907,0.486133 µm.
15.510588,-7.3889307,-6.9152183,0.27972870,0.27535890,1.5869452,0.486133 µm.
15.510588,-7.3889307,-6.9152183,0.27972870,0.27535890,1.5869452,0.486133 µm.
15.675594,-7.4011137,-6.9149362,0.28296919,0.27843889,1.6270367,0.486133 µm.
15.675594,-7.4011137,-6.9149362,0.28296919,0.27843889,1.6270367,0.486133 µm.
15.840601,-7.4135834,-6.9146631,0.28621934,0.28152386,1.6678804,0.486133 µm.
15.840601,-7.4135834,-6.9146631,0.28621934,0.28152386,1.6678804,0.486133 µm.
16.005607,-7.4263492,-6.9143998,0.28947933,0.28461388,1.7094921,0.486133 µm.
16.005607,-7.4263492,-6.9143998,0.28947933,0.28461388,1.7094921,0.486133 µm.
16.170613,-7.4394210,-6.9141471,0.29274934,0.28770900,1.7518882,0.486133 µm.
16.170613,-7.4394210,-6.9141471,0.29274934,0.28770900,1.7518882,0.486133 µm.
16.335619,-7.4528090,-6.9139058,0.29602958,0.29080930,1.7950856,0.486133 µm.
16.335619,-7.4528090,-6.9139058,0.29602958,0.29080930,1.7950856,0.486133 µm.
16.500626,-7.4665242,-6.9136768,0.29932023,0.29391484,1.8391019,0.486133 µm.
16.500626,-7.4665242,-6.9136768,0.29932023,0.29391484,1.8391019,0.486133 µm.
0.00000000,-6.8977483,-6.8977483,0.00000000,0.00000000,0.00000000,0.587562 µm.
0.00000000,-6.8977483,-6.8977483,0.00000000,0.00000000,0.00000000,0.587562 µm.
0.16500626,-6.8977910,-6.8977457,2.8513417E-003,2.8513373E-003,1.5205954E-004,0.587562 µm.
0.16500626,-6.8977910,-6.8977457,2.8513417E-003,2.8513373E-003,1.5205954E-004,0.587562 µm.
0.33001251,-6.8979190,-6.8977376,5.7027567E-003,5.7027220E-003,6.0826761E-004,0.587562 µm.
0.33001251,-6.8979190,-6.8977376,5.7027567E-003,5.7027220E-003,6.0826761E-004,0.587562 µm.
0.49501877,-6.8981323,-6.8977243,8.5543183E-003,8.5542012E-003,1.3687083E-003,0.587562 µm.
0.49501877,-6.8981323,-6.8977243,8.5543183E-003,8.5542012E-003,1.3687083E-003,0.587562 µm.
0.66002503,-6.8984310,-6.8977056,0.011406100,0.011405822,2.4335223E-003,0.587562 µm.
0.66002503,-6.8984310,-6.8977056,0.011406100,0.011405822,2.4335223E-003,0.587562 µm.
0.82503129,-6.8988151,-6.8976816,0.014258175,0.014257633,3.8029071E-003,0.587562 µm.
0.82503129,-6.8988151,-6.8976816,0.014258175,0.014257633,3.8029071E-003,0.587562 µm.
0.99003754,-6.8992847,-6.8976522,0.017110617,0.017109680,5.4771164E-003,0.587562 µm.
0.99003754,-6.8992847,-6.8976522,0.017110617,0.017109680,5.4771164E-003,0.587562 µm.
1.1550438,-6.8998399,-6.8976175,0.019963499,0.019962010,7.4564609E-003,0.587562 µm.
1.1550438,-6.8998399,-6.8976175,0.019963499,0.019962010,7.4564609E-003,0.587562 µm.
1.3200501,-6.9004808,-6.8975775,0.022816895,0.022814673,9.7413081E-003,0.587562 µm.
1.3200501,-6.9004808,-6.8975775,0.022816895,0.022814673,9.7413081E-003,0.587562 µm.
1.4850563,-6.9012075,-6.8975322,0.025670879,0.025667713,0.012332083,0.587562 µm.
1.4850563,-6.9012075,-6.8975322,0.025670879,0.025667713,0.012332083,0.587562 µm.
1.6500626,-6.9020202,-6.8974815,0.028525524,0.028521180,0.015229266,0.587562 µm.
1.6500626,-6.9020202,-6.8974815,0.028525524,0.028521180,0.015229266,0.587562 µm.
1.8150688,-6.9029189,-6.8974256,0.031380904,0.031375120,0.018433399,0.587562 µm.
1.8150688,-6.9029189,-6.8974256,0.031380904,0.031375120,0.018433399,0.587562 µm.
1.9800751,-6.9039038,-6.8973643,0.034237093,0.034229582,0.021945079,0.587562 µm.
1.9800751,-6.9039038,-6.8973643,0.034237093,0.034229582,0.021945079,0.587562 µm.
2.1450813,-6.9049752,-6.8972977,0.037094166,0.037084611,0.025764962,0.587562 µm.
2.1450813,-6.9049752,-6.8972977,0.037094166,0.037084611,0.025764962,0.587562 µm.
2.3100876,-6.9061332,-6.8972259,0.039952197,0.039940257,0.029893762,0.587562 µm.
2.3100876,-6.9061332,-6.8972259,0.039952197,0.039940257,0.029893762,0.587562 µm.
2.4750939,-6.9073780,-6.8971488,0.042811259,0.042796566,0.034332254,0.587562 µm.
2.4750939,-6.9073780,-6.8971488,0.042811259,0.042796566,0.034332254,0.587562 µm.
2.6401001,-6.9087098,-6.8970664,0.045671429,0.045653587,0.039081272,0.587562 µm.
2.6401001,-6.9087098,-6.8970664,0.045671429,0.045653587,0.039081272,0.587562 µm.
2.8051064,-6.9101290,-6.8969787,0.048532780,0.048511366,0.044141709,0.587562 µm.
2.8051064,-6.9101290,-6.8969787,0.048532780,0.048511366,0.044141709,0.587562 µm.
2.9701126,-6.9116357,-6.8968858,0.051395388,0.051369952,0.049514521,0.587562 µm.
2.9701126,-6.9116357,-6.8968858,0.051395388,0.051369952,0.049514521,0.587562 µm.
3.1351189,-6.9132303,-6.8967877,0.054259328,0.054229393,0.055200723,0.587562 µm.
3.1351189,-6.9132303,-6.8967877,0.054259328,0.054229393,0.055200723,0.587562 µm.
3.3001251,-6.9149130,-6.8966844,0.057124675,0.057089736,0.061201393,0.587562 µm.
3.3001251,-6.9149130,-6.8966844,0.057124675,0.057089736,0.061201393,0.587562 µm.
