Basis,program,"image size (1/2 diag, mm)",f/#,efl (mm),notes
JP2015-041003_Example01MLP,zemax,21.6,1.4,50,Nikon AF-S Nikkor 50mm f/1.4G
JP2015-041012_Example01P,zemax,21.6,2.8,35,Sony Sonnar T* FE 35mm F2.8 ZA
JP2015-075501_Example01P,zemax,10.8,1.8,25,Olympus M.Zuiko 25mm F1.8
JP2015-096915_Example02P,zemax,21.63,85,18,Zeiss Batis 1.8/85
JP2015-102734_Example01MLP,zemax,21.63,2.8,300,Nikon AF-S Nikkor 300mm f/2.8D IF-ED II
JP2015-102734_Example01TCP,zemax,NA,NA,NA,
JP2015-111192_Example01P,zemax,13.66,2.8,24,Canon EF-S24mm f2.8 STM
JP2015-114366_Example01P,zemax,21.6,1.4,50,Sigma 50mm F1.4 DG HSM Art
JP2015-161792_Example01P,zemax,14,2.8,50,Zeiss Touit 2.8 50M
JP2015-215560_Example01P,zemax,21.63,4,500,Nikon AF-S Nikkor 500mm f/4E FL ED VR
JP2016-012034_Example01P,zemax,21.6,1.4,24,Sigma 24mm F1.4 DG HSM Art
JP2016-021011_Example04P,zemax,21.6,1.8,20,Nikon AF-S Nikkor 20mm f/1.8G ED
JP2016-099362_Example06P,zemax,11.15,3.5,30,Olympus M.Zuiko ED 30mm F3.5 Macro
JP2016-184136_Example07P,zemax,11.6,1.8,8,Olympus M.Zuiko ED 8mm F1.8 Fisheye
JP2016-188967_Example01P,zemax,21.6,18,28,Zeiss Batis 2.8/18
JP2016-191761_MLP,zemax,21.6,2.8,400,Canon EF400mm f2.8L IS USM
JP2017-003807_Example04P,zemax,21.6,1.8,24,Nikon AF-S Nikkor 24mm f/1.8G ED
JP2017-161685_Example02P,zemax,33,4,19,Nikon PC Nikkor 19mm f/4E ED
JP2017-167327 Example01P,zemax,10.82,1.4,12,Panasonic Leica DG Summilux 12mm F1.4 Asph
JP2017-227799_Example01P,zemax,21.6,1.4,28,Nikon AF-S Nikkor 28mm f/1.4E ED
JP2017-227799-1,zemax,21.5,1.4,28,
JP2018-005099 Example04P,zemax,21.63,1.4,85,Sigma 85mm F1.4 DG HSM A
JP2018-049102_Example01P,zemax,21.6,2,135,Canon EF135mm f2L USM
JP2018-132674 Example01P,zemax,33.63,4,135,Canon TS-E135mm f4L Macro
JP2018-180366 Example01P,zemax,13.66,1.4,32,Canon EF-M32mm f1.4 STM
JP2018-205474 Example01P,zemax,34,2.8,90,Canon TS-E90mm f2.8L Macro
JP2018-205527_Example01P,zemax,14.2,1.4,16,Sigma 16mm F1.4 DC DN Contemporary
JP2019-023693 Example01P,zemax,10.82,1.2,45,Olympus M.Zuiko ED 45mm F1.2 Pro
JP2019-090947_Example04P,zemax,21.6,1.8,35,Nikon Nikkor Z 35mm f/1.8 S
JP2019-117419_Example01P,zemax,21.63,1.4,20,Sigma 20mm F1.4 DG HSM Art
JP2019-144441_Example01P,zemax,21.6,2.8,70,Sigma 70mm F2.8 DG Macro Art
JP2019-144477_Example01P,zemax,21.6,1.4,105,Sigma 105mm F1.4 DG HSM Art
JP2019-152887_Example03P,zemax,21.6,2.8,400,Nikon AF-S Nikkor 400mm f/2.8 E FL ED VR
JP2019-211703_Example01P,zemax,21.6,2.8,45,Sigma 45mm F2.8 DG DN C
JP2019-219472_Example06P,zemax,21.6,1.4,28,Sigma 28mm F1.4 DG HSM A
JP2020-030383_Example01P,zemax,14,1.4,56,Sigma 56mm F1.4 DC DN C
