0.62000000,-0.011146623 -2.0432569E-003,4.5769845E-003,
0.63000000,-0.011455191 -2.2963139E-003,4.3517251E-003,
0.64000000,-0.011752813 -2.5328442E-003,4.1453489E-003,
0.65000000,-0.012039084 -2.7522233E-003,3.9585716E-003,
0.66000000,-0.012313585 -2.9538082E-003,3.7921298E-003,
0.67000000,-0.012575815 -3.1368690E-003,3.6468493E-003,
0.68000000,-0.012825115 -3.3005128E-003,3.5237217E-003,
0.69000000,-0.013060588 -3.4436001E-003,3.4239879E-003,
0.70000000,-0.013281000 -3.5646534E-003,3.3492299E-003,
0.71000000,-0.013484689 -3.6617581E-003,3.3014702E-003,
0.72000000,-0.013669455 -3.7324563E-003,3.2832782E-003,
0.73000000,-0.013832450 -3.7736338E-003,3.2978841E-003,
0.74000000,-0.013970055 -3.7814001E-003,3.3492986E-003,
0.75000000,-0.014077761 -3.7509627E-003,3.4424403E-003,
0.76000000,-0.014150033 -3.6764958E-003,3.5832668E-003,
0.77000000,-0.014180182 -3.5510039E-003,3.7789128E-003,
0.78000000,-0.014160220 -3.3661826E-003,4.0378302E-003,
0.79000000,-0.014080727 -3.1122747E-003,4.3699329E-003,
0.80000000,-0.013930703 -2.7779268E-003,4.7867425E-003,
0.81000000,-0.013697431 -2.3500438E-003,5.3015352E-003,
0.82000000,-0.013366340 -1.8136464E-003,5.9294863E-003,
0.83000000,-0.012920867 -1.1517315E-003,6.6878131E-003,
0.84000000,-0.012342329 -3.4513865E-004,7.5959107E-003,
0.85000000,-0.011609814,6.2757455E-004,8.6754802E-003
0.86000000,-0.010700069,1.7902445E-003,9.9506453E-003
0.87000000 -9.5874177E-003,3.1691976E-003,0.011448052,
0.88000000 -8.2437017E-003,4.7933242E-003,0.013196950,
0.89000000 -6.6382442E-003,6.6941262E-003,0.015229245,
0.90000000 -4.7378571E-003,8.9057285E-003,0.017579517,
0.91000000 -2.5068924E-003,0.011464848,0.020285000,
0.92000000,9.2648428E-005,0.014410709,0.023385508
0.93000000,3.1009319E-003,0.017784887,0.026923289
0.94000000,6.5600216E-003,0.021631074,0.030942803
0.95000000,0.010513497,0.025994733,0.035490400
0.96000000,0.015005932,0.030922630,0.040613862
0.97000000,0.020082210,0.036462196,0.046361795
0.98000000,0.025786621,0.042660697,0.052782825
0.99000000,0.032161704,0.049564152,0.059924547
1.0000000,0.039246763,0.057215944,0.067832171
